rank,name,popularity
0,Gossiping,14712
1,C_Chat,3835
2,Baseball,3368
3,NBA,3366
4,Stock,3332
5,iOS,1896
6,sex,1415
7,MobileComm,1335
8,Lifeismoney,1213
9,car,1171
10,LoL,1119
11,movie,826
12,Beauty,786
13,home-sale,776
14,Boy-Girl,752
15,Tech_Job,751
16,BabyMother,742
17,WomenTalk,686
18,AllTogether,682
19,HatePolitics,674
20,PC_Shopping,612
21,e-shopping,580
22,KoreaDrama,483
23,joke,479
24,KoreaStar,467
25,Elephants,441
26,Tainan,414
27,marvel,413
28,marriage,411
29,japanavgirls,387
30,creditcard,361
31,NSwitch,350
32,Lakers,346
33,BeautySalon,334
34,MakeUp,316
35,ToS,314
36,Kaohsiung,310
37,KR_Entertain,308
38,Japandrama,302
39,SportLottery,299
40,StupidClown,274
41,Steam,272
42,CVS,271
43,PlayStation,261
44,CFantasy,260
45,Salary,243
46,TaichungBun,237
47,PCReDive,234
48,Tennis,214
49,PuzzleDragon,213
50,HardwareSale,213
51,Lions,203
52,basketballTW,200
53,EAseries,199
54,China-Drama,195
55,biker,193
56,Guardians,183
57,PokemonGO,183
58,MuscleBeach,176
59,MH,170
60,GetMarry,169
61,AC_In,160
62,Hsinchu,159
63,watch,156
64,BuyTogether,154
65,TW_Entertain,152
66,TypeMoon,151
67,PathofExile,148
68,CarShop,147
69,Gamesale,142
70,WOW,142
71,E-appliance,141
72,ONE_PIECE,139
73,Military,139
74,YuanChuang,135
75,KoreanPop,135
76,Food,133
77,FATE_GO,132
78,Soft_Job,131
79,Examination,131
80,TWICE,130
81,Option,129
82,TaiwanDrama,128
83,Headphone,125
84,lesbian,122
85,forsale,116
86,BB-Love,115
87,gay,115
88,PublicServan,111
89,Monkeys,110
90,Bank_Service,108
91,FITNESS,107
92,Brand,106
93,BTS,106
94,Hearthstone,103
95,cat,101
96,Hip-Hop,101
97,mobilesales,99
98,HelpBuy,97
99,MacShop,97
100,feminine_sex,96
101,part-time,93
102,fastfood,91
103,facelift,90
104,Gov_owned,88
105,Sakurazaka46,87
106,MobilePay,87
107,hypermall,87
108,Railway,86
109,DMM_GAMES,84
110,nb-shopping,83
111,BabyProducts,82
112,cookclub,82
113,MLB,82
114,Zastrology,81
115,Wanted,79
116,Finance,78
117,Japan_Travel,75
118,SuperBike,74
119,DSLR,73
120,outdoorgear,73
121,DC_SALE,71
122,SET,71
123,give,69
124,job,69
125,Taoyuan,68
126,ChungLi,64
127,NBA_Film,63
